token,symbol,exch_seg
99926000,Nifty 50,NSE
99926001,Nifty GrowSect 15,NSE
99926002,Nifty50 PR 2x Lev,NSE
99926004,Nifty 500,NSE
99926008,Nifty IT,NSE
99926009,Nifty Bank,NSE
99926011,NIFTY MIDCAP 100,NSE
99926012,Nifty 100,NSE
99926013,Nifty Next 50,NSE
99926014,Nifty Midcap 50,NSE
99926016,HangSeng BeES-NAV,NSE
99926017,India VIX,NSE
99926018,Nifty Realty,NSE
99926019,Nifty Infra,NSE
99926020,Nifty Energy,NSE
99926021,Nifty FMCG,NSE
99926022,Nifty MNC,NSE
99926023,Nifty Pharma,NSE
99926024,Nifty PSE,NSE
99926025,Nifty PSU Bank,NSE
99926026,Nifty Serv Sector,NSE
99926029,Nifty Auto,NSE
99926030,Nifty Metal,NSE
99926031,Nifty Media,NSE
99926032,NIFTY SMLCAP 100,NSE
99926033,Nifty 200,NSE
99926034,Nifty Div Opps 50,NSE
99926035,Nifty Commodities,NSE
99926036,Nifty Consumption,NSE
99926037,Nifty Fin Service,NSE
99926038,Nifty50 Div Point,NSE
99926040,Nifty100 Liq 15,NSE
99926041,Nifty CPSE,NSE
99926042,Nifty50 PR 1x Inv,NSE
99926043,Nifty50 TR 2x Lev,NSE
99926044,Nifty50 TR 1x Inv,NSE
99926045,Nifty50 Value 20,NSE
99926046,Nifty Mid Liq 15,NSE
99926047,Nifty Pvt Bank,NSE
99926048,NIFTY100 Qualty30,NSE
99926049,Nifty GS 8 13Yr,NSE
99926050,Nifty GS 10Yr,NSE
99926051,Nifty GS 10Yr Cln,NSE
99926052,Nifty GS 4 8Yr,NSE
99926053,Nifty GS 11 15Yr,NSE
99926054,Nifty GS 15YrPlus,NSE
99926055,Nifty GS Compsite,NSE
99926056,NIFTY50 EQL Wgt,NSE
99926057,NIFTY100 EQL Wgt,NSE
99926058,NIFTY100 LowVol30,NSE
99926059,NIFTY Alpha 50,NSE
99926060,NIFTY MIDCAP 150,NSE
99926061,NIFTY SMLCAP 50,NSE
99926062,NIFTY SMLCAP 250,NSE
99926063,NIFTY MIDSML 400,NSE
99926064,NIFTY200 QUALTY30,NSE
99926074,NIFTY MID SELECT,NSE
1000,656MH32-SG,NSE
10046,757GS2033-GS,NSE
1009,68JK35-SG,NSE
10074,EMAMIPAP-EQ,NSE
1023,FEDERALBNK-EQ,NSE
10201,ICICM58-M1,NSE
10216,795AP40-SG,NSE
10247,782HP32-SG,NSE
10325,SKP-SM,NSE
10383,802AP38-SG,NSE
10417,DYCL-EQ,NSE
10435,OSEINTRUST-IV,NSE
10480,797RJ42-SG,NSE
10527,772AP34-SG,NSE
10553,789WB37-SG,NSE
10559,743HP28-SG,NSE
10588,SHREEPUSHK-EQ,NSE
10723,INFRAIETF-EQ,NSE
10741,728NTPC30B-N9,NSE
10744,737NTPC35C-NA,NSE
10794,CANBK-EQ,NSE
10839,HDFC1406DG-MF,NSE
10842,HDFC1406RG-MF,NSE
10889,KORE-SM,NSE
10905,GENESYS-EQ,NSE
1095,679MP40-SG,NSE
10906,753AS32-SG,NSE
10940,DIVISLAB-EQ,NSE
10957,746MP32-SG,NSE
11050,SIRCA-EQ,NSE
11082,LIBAS-EQ,NSE
11096,757JK34-SG,NSE
11149,SHRENIK-EQ,NSE
11211,KANDARP-ST,NSE
11241,HDFCGROWTH-EQ,NSE
11283,769GA32-SG,NSE
11233,SUVEN-EQ,NSE
1134,APOLLO-EQ,NSE
11319,LICNETFN50-EQ,NSE
11355,PTC-EQ,NSE
11445,PILANIINVS-EQ,NSE
11461,JPASSOCIAT-BE,NSE
11506,781GJ32-SG,NSE
11509,785SK32-SG,NSE
11515,785PN42-SG,NSE
11562,HDFC1359RD-MF,NSE
11530,EMIL-EQ,NSE
1157,654AR30-SG,NSE
11597,774GA32-SG,NSE
11598,773BR32-SG,NSE
1172,681TR35-SG,NSE
1168,GMBREW-EQ,NSE
11699,PATELENG-EQ,NSE
11703,ALKEM-EQ,NSE
11757,750IRFC35-NK,NSE
11794,SAKSOFT-EQ,NSE
11809,IIFL-EQ,NSE
11813,SHOPERSTOP-EQ,NSE
11821,WELCORP-EQ,NSE
11837,894SCL25A-ZI,NSE
11840,NH-EQ,NSE
11895,DCXINDIA-EQ,NSE
11845,CYBERMEDIA-BE,NSE
11846,87SCL27A-ZK,NSE
11864,PRIMESECU-EQ,NSE
1196,KANSAINER-EQ,NSE
11945,ANZEN-IV,NSE
11964,SEMAC-BE,NSE
11966,BIKAJI-EQ,NSE
12003,76NHAI31-NA,NSE
12041,UTIDMP35P1-MF,NSE
12060,UTIRGR35P1-MF,NSE
12101,HDFCNIFIT-EQ,NSE
1216,PRAXIS-BE,NSE
12301,769GA32A-SG,NSE
1236,652MH30-SG,NSE
1237,657GA30-SG,NSE
12384,ZIMLAB-EQ,NSE
1239,658UP30-SG,NSE
1247,GSFC-EQ,NSE
1254,673TN40-SG,NSE
12490,VINNY-EQ,NSE
12556,SFMP72DR-MF,NSE
12561,SFMP72GD-MF,NSE
