name,token,normalizedName
ABB India Limited,500002,abb
AEGIS LOGISTICS LTD.,500003,aegis logistics
AMARA RAJA BATTERIES LTD.,500008,amara raja batteries
AMBALAL SARABHAI ENTERPRISES LTD.,500009,ambalal sarabhai enterprises
HOUSING DEVELOPMENT FINANCE CORP.LTD.,500010,housing development finance corp
ANDHRA PETROCHEMICALS LTD.,500012,andhra petrochemicals
ANSAL PROPERTIES & INFRASTRUCTURE LTD.,500013,ansal properties infrastructure
Utique Enterprises Ltd,500014,utique enterprises
ARUNA HOTELS LTD.,500016,aruna hotels
BOMBAY DYEING & MFG.CO.LTD.,500020,bombay dyeing mfg co
Asian Hotels (North) Limited,500023,asian hotels north
Assam Company (India) Limited,500024,assam company
ATUL LTD.,500027,atul
ATV PROJECTS INDIA LTD.,500028,atv projects
AUTOLITE (INDIA) LTD.,500029,autolite
AUTORIDERS FINANCE LTD.,500030,autoriders finance
BAJAJ ELECTRICALS LTD.,500031,bajaj electricals
Bajaj Hindusthan Sugar Limited,500032,bajaj hindusthan sugar
FORCE MOTORS LTD.,500033,force motors
Bajaj Finance Limited,500034,bajaj finance
BALRAMPUR CHINI MILLS LTD.,500038,balrampur chini mills
BANCO PRODUCTS (INDIA) LTD.,500039,banco products
CENTURY TEXTILES & INDUSTRIES LTD.,500040,century textiles
BANNARI AMMAN SUGARS LTD.,500041,bannari amman sugars
BASF INDIA LTD.,500042,basf
BATA INDIA LTD.,500043,bata
Best & Crompton Engg.ltd.,500046,best crompton engg
BEML LTD.,500048,beml
BHARAT ELECTRONICS LTD.,500049,bharat electronics
Bhagawati Gas Limited,500051,bhagawati gas
BHANSALI ENGINEERING POLYMERS LTD.,500052,bhansali engineering polymers
Tata Steel Bsl Ltd,500055,tata steel bsl
ADITYA BIRLA CHEMICALS (INDIA) LTD.,500057,aditya birla chemicals
BIHAR SPONGE IRON LTD.,500058,bihar sponge iron
BINANI INDUSTRIES LTD.,500059,binani
Birla Cable Ltd,500060,birla cable
BLUE STAR LTD.,500067,blue star
DISA INDIA LTD.,500068,disa
Quest Capital Markets Ltd,500069,quest capital markets
BPL LTD.,500074,bpl
Cable Corporation Of India Ltd.,500077,cable corporation of
Oriental Aromatics Ltd,500078,oriental aromatics
CENTURY EXTRUSIONS LTD.,500083,century extrusions
CESC LTD.,500084,cesc
CHAMBAL FERTILISERS & CHEMICALS LTD.,500085,chambal fertilisers chemicals
EXIDE INDUSTRIES LTD.,500086,exide
CIPLA LTD.,500087,cipla
DIC INDIA LTD.,500089,dic
CRISIL LTD.,500092,crisil
CG Power and Industrial Solutions Ltd,500093,cg power and industrial solutions
Wyeth Ltd.,500095,wyeth
DABUR INDIA LTD.,500096,dabur
Dalmia Bharat Sugar and Industries Ltd,500097,dalmia bharat sugar and
ARVIND LTD.,500101,arvind
BALLARPUR INDUSTRIES LTD.,500102,ballarpur
BHARAT HEAVY ELECTRICALS LTD.,500103,bharat heavy electricals
HINDUSTAN PETROLEUM CORPORATION LTD.,500104,hindustan petroleum corporation
IFCI LTD.,500106,ifci
