SYMBOL,NAME OF COMPANY,normalizedName
20MICRONS,20 Microns Limited,20 microns
21STCENMGM,21st Century Management Services Limited,21st century management services
360ONE,360 ONE WAM LIMITED,360 one wam
3IINFOLTD,3i Infotech Limited,3i infotech
3MINDIA,3M India Limited,3m
3PLAND,3P Land Holdings Limited,3p land holdings
5PAISA,5Paisa Capital Limited,5paisa capital
63MOONS,63 moons technologies limited,63 moons technologies
A2ZINFRA,A2Z Infra Engineering Limited,a2z infra engineering
AAATECH,AAA Technologies Limited,aaa technologies
AADHARHFC,Aadhar Housing Finance Limited,aadhar housing finance
AAKASH,Aakash Exploration Services Limited,aakash exploration services
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,aarey drugs pharmaceuticals
AARON,Aaron Industries Limited,aaron
AARTECH,Aartech Solonics Limited,aartech solonics
AARTIDRUGS,Aarti Drugs Limited,aarti drugs
AARTIIND,Aarti Industries Limited,aarti
AARTIPHARM,Aarti Pharmalabs Limited,aarti pharmalabs
AARTISURF,Aarti Surfactants Limited,aarti surfactants
AARVEEDEN,Aarvee Denims & Exports Limited,aarvee denims exports
AARVI,Aarvi Encon Limited,aarvi encon
AAVAS,Aavas Financiers Limited,aavas financiers
ABAN,Aban Offshore Limited,aban offshore
ABB,ABB India Limited,abb
ABBOTINDIA,Abbott India Limited,abbott
ABCAPITAL,Aditya Birla Capital Limited,aditya birla capital
ABDL,Allied Blenders and Distillers Limited,allied blenders and distillers
ABFRL,Aditya Birla Fashion and Retail Limited,aditya birla fashion and retail
ABINFRA,A B Infrabuild Limited,a b infrabuild
ABLBL,Aditya Birla Lifestyle Brands Limited,aditya birla lifestyle brands
ABMINTLLTD,ABM International Limited,abm international
ABREL,Aditya Birla Real Estate Limited,aditya birla real estate
ABSLAMC,Aditya Birla Sun Life AMC Limited,aditya birla sun life amc
ACC,ACC Limited,acc
ACCELYA,Accelya Solutions India Limited,accelya solutions
ACCURACY,Accuracy Shipping Limited,accuracy shipping
ACE,Action Construction Equipment Limited,action construction equipment
ACEINTEG,Ace Integrated Solutions Limited,ace integrated solutions
ACI,Archean Chemical Industries Limited,archean chemical
ACL,Andhra Cements Limited,andhra cements
ACLGATI,Allcargo Gati Limited,allcargo gati
ACMESOLAR,Acme Solar Holdings Limited,acme solar holdings
ACUTAAS,Acutaas Chemicals Limited,acutaas chemicals
ADANIENSOL,Adani Energy Solutions Limited,adani energy solutions
ADANIENT,Adani Enterprises Limited,adani enterprises
ADANIGREEN,Adani Green Energy Limited,adani green energy
ADANIPORTS,Adani Ports and Special Economic Zone Limited,adani ports and special economic zone
ADANIPOWER,Adani Power Limited,adani power
ADFFOODS,ADF Foods Limited,adf foods
ADL,Archidply Decor Limited,archidply decor
ADOR,Ador Welding Limited,ador welding
ADROITINFO,Adroit Infotech Limited,adroit infotech
ADSL,Allied Digital Services Limited,allied digital services
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,advani hotels resorts
ADVENZYMES,Advanced Enzyme Technologies Limited,advanced enzyme technologies
AEGISLOG,Aegis Logistics Limited,aegis logistics
AEGISVOPAK,Aegis Vopak Terminals Limited,aegis vopak terminals
AEROENTER,Aeroflex Enterprises Limited,aeroflex enterprises
AEROFLEX,Aeroflex Industries Limited,aeroflex
AERONEU,Aeroflex Neu Limited,aeroflex neu
