symbol,token,exch_seg
Nifty 50,99926000,NSE
Nifty GrowSect 15,99926001,NSE
Nifty50 PR 2x Lev,99926002,NSE
Nifty 500,99926004,NSE
Nifty IT,99926008,NSE
Nifty Bank,99926009,NSE
NIFTY MIDCAP 100,99926011,NSE
Nifty 100,99926012,NSE
Nifty Next 50,99926013,NSE
Nifty Midcap 50,99926014,NSE
HangSeng BeES-NAV,99926016,NSE
India VIX,99926017,NSE
Nifty Realty,99926018,NSE
Nifty Infra,99926019,NSE
Nifty Energy,99926020,NSE
Nifty FMCG,99926021,NSE
Nifty MNC,99926022,NSE
Nifty Pharma,99926023,NSE
Nifty PSE,99926024,NSE
Nifty PSU Bank,99926025,NSE
Nifty Serv Sector,99926026,NSE
Nifty Auto,99926029,NSE
Nifty Metal,99926030,NSE
Nifty Media,99926031,NSE
NIFTY SMLCAP 100,99926032,NSE
Nifty 200,99926033,NSE
Nifty Div Opps 50,99926034,NSE
Nifty Commodities,99926035,NSE
Nifty Consumption,99926036,NSE
Nifty Fin Service,99926037,NSE
Nifty50 Div Point,99926038,NSE
Nifty100 Liq 15,99926040,NSE
Nifty CPSE,99926041,NSE
Nifty50 PR 1x Inv,99926042,NSE
Nifty50 TR 2x Lev,99926043,NSE
Nifty50 TR 1x Inv,99926044,NSE
Nifty50 Value 20,99926045,NSE
Nifty Mid Liq 15,99926046,NSE
Nifty Pvt Bank,99926047,NSE
NIFTY100 Qualty30,99926048,NSE
Nifty GS 8 13Yr,99926049,NSE
Nifty GS 10Yr,99926050,NSE
Nifty GS 10Yr Cln,99926051,NSE
Nifty GS 4 8Yr,99926052,NSE
Nifty GS 11 15Yr,99926053,NSE
Nifty GS 15YrPlus,99926054,NSE
Nifty GS Compsite,99926055,NSE
NIFTY50 EQL Wgt,99926056,NSE
NIFTY100 EQL Wgt,99926057,NSE
NIFTY100 LowVol30,99926058,NSE
NIFTY Alpha 50,99926059,NSE
NIFTY MIDCAP 150,99926060,NSE
NIFTY SMLCAP 50,99926061,NSE
NIFTY SMLCAP 250,99926062,NSE
NIFTY MIDSML 400,99926063,NSE
NIFTY200 QUALTY30,99926064,NSE
NIFTY MID SELECT,99926074,NSE
GOLDSTAR-SM,1,NSE
ORICONENT-EQ,10159,NSE
781TN52-SG,10190,NSE
SYNGENE-EQ,10243,NSE
EMKAYTOOLS-SM,10253,NSE
778ML31-SG,10330,NSE
FINCABLES-EQ,1038,NSE
CSLFINANCE-EQ,10350,NSE
783MN32-SG,10368,NSE
785PN32-SG,10394,NSE
779AP31-SG,10458,NSE
781HR32B-SG,10461,NSE
782NL32-SG,10463,NSE
806JK37-SG,10477,NSE
UFLEX-EQ,1053,NSE
MARKSANS-EQ,10579,NSE
SHREEPUSHK-EQ,10588,NSE
793RJ45-SG,10645,NSE
NIFTYQLITY-EQ,10690,NSE
MOMENTUM-EQ,10693,NSE
774AP38-SG,10719,NSE
VERTIS-IV,10757,NSE
SILVERADD-EQ,10761,NSE
766UP32-SG,10771,NSE
776KL38-SG,10773,NSE
HDFC1406DD-MF,10838,NSE
HDFC1406DQ-MF,10840,NSE
761TN32-SG,10852,NSE
SFMP64DD-MF,10879,NSE
SFMP64DR-MF,10880,NSE
SFMP64GR-MF,10882,NSE
758PN42-SG,10907,NSE
758AP40-SG,10911,NSE
RADAAN-EQ,10932,NSE
746MP32-SG,10957,NSE
ISHAN-SM,10995,NSE
SGBAUG30-GB,11192,NSE
AXISILVER-EQ,11193,NSE
BAGFILMS-EQ,11226,NSE
TVTODAY-EQ,11275,NSE
771AP34-SG,11281,NSE
UPL-EQ,11287,NSE
765RJ32A-SG,11288,NSE
UNIENTER-EQ,11293,NSE
ZOTA-EQ,11394,NSE
782AP35-SG,11412,NSE
774AP42-SG,11417,NSE
CCL-EQ,11452,NSE
AMBICAAGAR-EQ,11496,NSE
785AS32A-SG,11505,NSE
GLAXO-EQ,1153,NSE
GLFL-EQ,1156,NSE
785SK32-SG,11509,NSE
HDFC1359RG-MF,11563,NSE
HDFC1359RQ-MF,11565,NSE
WESTLIFE-EQ,11580,NSE
77MH30-SG,11590,NSE
GTL-EQ,1162,NSE
KOTARISUG-EQ,11647,NSE
784AS32-SG,11679,NSE
784RJ32-SG,11691,NSE
782TN32-SG,11693,NSE
791UP37-SG,11697,NSE
GNFC-EQ,1174,NSE
793WB37-SG,11698,NSE
PATELENG-EQ,11699,NSE
782RJ32-SG,11765,NSE
GODFRYPHLP-EQ,1181,NSE
GOYALALUM-EQ,11787,NSE
IIFL-EQ,11809,NSE
87SCL27A-ZK,11846,NSE
915SCL27A-ZL,11854,NSE
89SCL24A-ZM,11857,NSE
785HP36-SG,11870,NSE
787MZ36-SG,11873,NSE
783BR32-SG,11882,NSE
SWELECTES-EQ,11909,NSE
FUSION-EQ,11932,NSE
AMIABLE-SM,11939,NSE
714NHAI26-N7,11949,NSE
767KA32-SG,11984,NSE
SUZLON-EQ,12018,NSE
AURIONPRO-EQ,12022,NSE
53BR25-SG,1207,NSE
AARTISURF-P1,12121,NSE
INOXGREEN-EQ,12188,NSE
77BR32-SG,12300,NSE
GSFC-EQ,1247,NSE
666KA32-SG,1248,NSE
763PN39-SG,12706,NSE
G1NSETEST-EQ,12842,NSE
SARVESHWAR-EQ,12913,NSE
ARHAM-SM,13092,NSE
SFMP73GD-MF,13107,NSE
761JK42-SG,13135,NSE
UTIDGR35P2-MF,13153,NSE
UTIRAP35P2-MF,13156,NSE
UTIRQP35P2-MF,13164,NSE
GSPL-EQ,13197,NSE
COMMOIETF-EQ,13198,NSE
765GA32-SG,13243,NSE
76KA32-SG,13245,NSE
LANDMARK-EQ,13276,NSE
GALLANTT-EQ,13337,NSE
763KL32-SG,13375,NSE
RSYSTEMS-EQ,13414,NSE
KELLTONTEC-EQ,13430,NSE
LOKESHMACH-EQ,13436,NSE
916SCL25-ZW,13482,NSE
98SCL27-ZX,13484,NSE
GMRAIRPORT-EQ,13528,NSE
ANANTRAJ-EQ,13620,NSE
763HR33-SG,13627,NSE
ELECON-EQ,13643,NSE
SFMP74DR-MF,13670,NSE
GTLINFRA-EQ,13745,NSE
NAUKRI-EQ,13751,NSE
668AP33-SG,1378,NSE
SOBHA-EQ,13826,NSE
MMFL-EQ,13844,NSE
AARTIPHARM-EQ,13868,NSE
BANCOINDIA-EQ,13880,NSE
769UP35-SG,13891,NSE
766WB39-SG,13906,NSE
765HR30-SG,13957,NSE
769AS33-SG,13959,NSE
SGBOCT27-GB,13981,NSE
984SFIL26A-NK,14030,NSE
WANBURY-EQ,14063,NSE
766BR33-SG,14098,NSE
PTL-EQ,14101,NSE
AUTOIND-EQ,14106,NSE
NETWORK18-EQ,14111,NSE
772BR33-SG,14161,NSE
SHERA-SM,14172,NSE
LRRPL-SM,14204,NSE
IMC1-N1,14219,NSE
759PN39-SG,14279,NSE
FSL-EQ,14304,NSE
OSWALSEEDS-BE,14310,NSE
INDIANB-EQ,14309,NSE
769WB42-SG,14347,NSE
769AP43-SG,14351,NSE
77AP28-SG,14359,NSE
RAJTV-EQ,14403,NSE
77MH33-SG,14425,NSE
771BR33-SG,14431,NSE
NAHARSPING-EQ,14440,NSE
772TS46-SG,14452,NSE
THEMISMED-EQ,14485,NSE
BALAMINES-EQ,14501,NSE
ICRA-EQ,14523,NSE
769TS32-SG,14533,NSE
766MH33-SG,14549,NSE
WEBELSOLAR-EQ,14602,NSE
CHEMBOND-EQ,14618,NSE
FSC-BZ,14628,NSE
778TS34-SG,14647,NSE
774WB43-SG,14658,NSE
HGS-EQ,14712,NSE
925SCL28-AM,14714,NSE
ADVANIHOTR-EQ,14745,NSE
021NSETEST-EQ,14751,NSE
051NSETEST-EQ,14758,NSE
111NSETEST-EQ,14774,NSE
776UK33-SG,14820,NSE
WSI-EQ,14828,NSE
78JK35-SG,14834,NSE
779HP38-SG,14839,NSE
ALPA-EQ,14848,NSE
LAL-EQ,14924,NSE
SHIVAMILLS-EQ,1497,NSE
MOTILALOFS-EQ,14947,NSE
POWERGRID-EQ,14977,NSE
CENTUM-EQ,14982,NSE
ENERGYDEV-EQ,15049,NSE
PSUBANK-EQ,15061,NSE
KALYANIFRG-EQ,15156,NSE
KIRLPNU-EQ,15180,NSE
BGRENERGY-BE,15193,NSE
PATINTLOG-EQ,15219,NSE
UJJIVANSFB-EQ,15228,NSE
HERCULES-EQ,15288,NSE
VIRINCHI-BE,15304,NSE
NMDC-EQ,15332,NSE
NAHARCAP-EQ,15360,NSE
74AS33-SG,15508,NSE
735AP39-SG,15759,NSE
674UP30-SG,161,NSE
TATAINVEST-EQ,1621,NSE
NXST-RR,15815,NSE
657HP30-SG,1644,NSE
733MH31-SG,16224,NSE
737SK33-SG,16239,NSE
743MZ37-SG,16268,NSE
663KA34-SG,1651,NSE
ITC-EQ,1660,NSE
734RJ33A-SG,16646,NSE
733AP33-SG,16647,NSE
736AP37-SG,16649,NSE
733AP43-SG,16654,NSE
GOKUL-EQ,16705,NSE
734MH31-SG,16782,NSE
ARCHIDPLY-EQ,16795,NSE
741UP34-SG,16803,NSE
741PN34-SG,16804,NSE
SPECTSTM-SM,16876,NSE
20MICRONS-EQ,16921,NSE
74AP32-SG,16923,NSE
JOCIL-EQ,16927,NSE
738GJ30A-SG,16973,NSE
74CG30-SG,16974,NSE
742AP41-SG,16988,NSE
588CG26-SG,1703,NSE
