symbol,exch_seg,token
Nifty 200,NSE,99926033
Nifty Div Opps 50,NSE,99926034
Nifty Commodities,NSE,99926035
Nifty Consumption,NSE,99926036
Nifty Fin Service,NSE,99926037
Nifty50 Div Point,NSE,99926038
Nifty Metal,NSE,99926030
Nifty Media,NSE,99926031
NIFTY SMLCAP 100,NSE,99926032
Nifty50 TR 2x Lev,NSE,99926043
Nifty50 TR 1x Inv,NSE,99926044
Nifty50 Value 20,NSE,99926045
Nifty Mid Liq 15,NSE,99926046
Nifty Pvt Bank,NSE,99926047
NIFTY100 Qualty30,NSE,99926048
Nifty GS 8 13Yr,NSE,99926049
Nifty100 Liq 15,NSE,99926040
Nifty CPSE,NSE,99926041
Nifty50 PR 1x Inv,NSE,99926042
Nifty GS 11 15Yr,NSE,99926053
Nifty GS 15YrPlus,NSE,99926054
Nifty GS Compsite,NSE,99926055
NIFTY50 EQL Wgt,NSE,99926056
NIFTY100 EQL Wgt,NSE,99926057
NIFTY100 LowVol30,NSE,99926058
NIFTY Alpha 50,NSE,99926059
Nifty GS 10Yr,NSE,99926050
Nifty GS 10Yr Cln,NSE,99926051
Nifty GS 4 8Yr,NSE,99926052
NIFTY MIDSML 400,NSE,99926063
NIFTY200 QUALTY30,NSE,99926064
NIFTY MIDCAP 150,NSE,99926060
NIFTY SMLCAP 50,NSE,99926061
NIFTY SMLCAP 250,NSE,99926062
NIFTY MID SELECT,NSE,99926074
Nifty 500,NSE,99926004
Nifty IT,NSE,99926008
Nifty Bank,NSE,99926009
Nifty 50,NSE,99926000
Nifty GrowSect 15,NSE,99926001
Nifty50 PR 2x Lev,NSE,99926002
Nifty Next 50,NSE,99926013
Nifty Midcap 50,NSE,99926014
HangSeng BeES-NAV,NSE,99926016
India VIX,NSE,99926017
Nifty Realty,NSE,99926018
Nifty Infra,NSE,99926019
NIFTY MIDCAP 100,NSE,99926011
Nifty 100,NSE,99926012
Nifty Pharma,NSE,99926023
Nifty PSE,NSE,99926024
Nifty PSU Bank,NSE,99926025
Nifty Serv Sector,NSE,99926026
Nifty Auto,NSE,99926029
Nifty Energy,NSE,99926020
Nifty FMCG,NSE,99926021
Nifty MNC,NSE,99926022
ORICONENT-EQ,NSE,10159
781RJ47-SG,NSE,10219
FEDERALBNK-EQ,NSE,1023
801WB41-SG,NSE,10393
789TS34-SG,NSE,10334
78TN32A-SG,NSE,10460
MOM30IETF-EQ,NSE,10585
SHREEPUSHK-EQ,NSE,10588
MOMENTUM-EQ,NSE,10693
774AP31-SG,NSE,10647
MOVALUINAV-EQ,NSE,10831
659HR30-SG,NSE,1077
711NTPC25A-N8,NSE,10737
HDFC1406RQ-MF,NSE,10843
HDFCSILVER-EQ,NSE,10876
GABRIEL-EQ,NSE,1085
DREAMFOLKS-EQ,NSE,10859
736GS2052-GS,NSE,10931
753AS32-SG,NSE,10906
